                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.94305,                0.80368,                 1.3156,                0.83809,                0.87905,                0.87565,                0.69683,                 0.7959,                0.51451,                 1.1763,             0.00048406,             0.00048406,             0.00048406
                     60,                0.95479,                0.82161,                 1.3227,                0.91638,                0.85889,                0.88365,                 0.6925,                0.81682,                 0.5722,                 1.1871,             0.00047306,             0.00047306,             0.00047306
                     61,                0.91439,                0.79113,                 1.2959,                0.88207,                 0.8771,                0.89864,                0.71385,                0.80453,                0.51644,                 1.1861,             0.00046206,             0.00046206,             0.00046206
                     62,                0.95691,                0.81987,                 1.3136,                0.95537,                0.86765,                0.88694,                0.70635,                0.81257,                0.52108,                 1.1988,             0.00045107,             0.00045107,             0.00045107
                     63,                0.93186,                0.80034,                 1.3054,                 0.9151,                0.88303,                0.88425,                0.69774,                0.81096,                0.51386,                 1.1937,             0.00044007,             0.00044007,             0.00044007
                     64,                0.92627,                0.79798,                 1.3086,                0.91487,                 0.8616,                0.88619,                0.68175,                0.86232,                0.52592,                 1.2281,             0.00042907,             0.00042907,             0.00042907
                     65,                 0.9206,                0.78588,                 1.2916,                0.94922,                0.86974,                0.88552,                0.68466,                 0.8449,                0.51281,                 1.2235,             0.00041807,             0.00041807,             0.00041807
                     66,                0.94237,                0.80841,                 1.3003,                0.91636,                0.87728,                0.89376,                0.72495,                0.79243,                 0.5037,                 1.1725,             0.00040707,             0.00040707,             0.00040707
                     67,                0.92242,                0.76235,                 1.2872,                0.94853,                0.85083,                0.89163,                0.71248,                0.81414,                0.49215,                 1.1746,             0.00039607,             0.00039607,             0.00039607
                     68,                0.93265,                0.81475,                 1.3014,                0.95856,                0.86175,                0.89678,                0.72692,                0.77079,                0.49677,                 1.1637,             0.00038507,             0.00038507,             0.00038507
                     69,                0.94385,                0.79849,                 1.3152,                0.95079,                0.84478,                0.88859,                0.70218,                0.82315,                0.53083,                 1.1962,             0.00037407,             0.00037407,             0.00037407
                     70,                0.91553,                0.79087,                 1.2835,                0.90157,                0.88448,                0.89666,                0.71018,                0.81191,                0.51588,                 1.1886,             0.00036307,             0.00036307,             0.00036307
                     71,                 0.9049,                0.78083,                 1.2828,                 0.9287,                0.84414,                0.87738,                  0.707,                0.79158,                0.49491,                 1.1705,             0.00035208,             0.00035208,             0.00035208
                     72,                 0.9004,                0.77296,                 1.2807,                0.88062,                0.87136,                0.88668,                 0.7229,                0.78198,                0.45622,                  1.159,             0.00034108,             0.00034108,             0.00034108
                     73,                0.88647,                0.78296,                 1.2801,                 0.8837,                0.87026,                0.87557,                0.69702,                0.79283,                 0.4836,                 1.1765,             0.00033008,             0.00033008,             0.00033008
                     74,                0.91053,                 0.7972,                  1.278,                0.94777,                0.88418,                0.89087,                0.71867,                0.79245,                 0.4919,                 1.1743,             0.00031908,             0.00031908,             0.00031908
                     75,                0.87578,                0.71782,                 1.2614,                0.89071,                0.88452,                0.90387,                0.72899,                0.79431,                0.46595,                 1.1745,             0.00030808,             0.00030808,             0.00030808
                     76,                0.88473,                0.72843,                 1.2741,                0.90886,                0.89475,                0.89216,                0.71021,                0.82015,                0.47872,                 1.1982,             0.00029708,             0.00029708,             0.00029708
                     77,                0.90544,                0.73325,                 1.2941,                0.92617,                0.88571,                0.89321,                0.70765,                0.81013,                0.46481,                 1.1862,             0.00028608,             0.00028608,             0.00028608
                     78,                0.89112,                0.74114,                 1.2707,                0.90333,                0.88571,                0.89959,                 0.7303,                0.77612,                 0.4773,                 1.1665,             0.00027508,             0.00027508,             0.00027508
                     79,                0.90343,                0.74651,                 1.2691,                0.82018,                0.91121,                0.87734,                0.69577,                0.82618,                0.49969,                 1.1971,             0.00026408,             0.00026408,             0.00026408
                     80,                0.84928,                0.68922,                 1.2349,                0.93967,                0.88571,                0.90061,                0.71914,                 0.7953,                0.46184,                 1.1783,             0.00025309,             0.00025309,             0.00025309
                     81,                0.87375,                0.73027,                 1.2687,                0.90278,                    0.9,                0.89487,                0.70253,                 0.8398,                0.47057,                 1.2211,             0.00024209,             0.00024209,             0.00024209
                     82,                0.87333,                0.73602,                 1.2621,                0.80792,                0.88822,                0.85942,                0.68227,                0.81228,                0.54503,                 1.1804,             0.00023109,             0.00023109,             0.00023109
                     83,                0.84858,                0.72531,                 1.2508,                 0.9477,                 0.8852,                0.91027,                0.72772,                 0.7967,                0.46234,                 1.1757,             0.00022009,             0.00022009,             0.00022009
                     84,                0.87334,                 0.7137,                 1.2638,                 0.9454,                   0.88,                0.89192,                0.70217,                0.82132,                0.47653,                 1.1919,             0.00020909,             0.00020909,             0.00020909
                     85,                0.85611,                0.70938,                 1.2547,                0.93986,                   0.85,                0.89118,                 0.7064,                0.83287,                0.47964,                 1.2019,             0.00019809,             0.00019809,             0.00019809
                     86,                0.86826,                0.72926,                 1.2565,                0.88478,                0.90205,                0.89409,                0.70935,                0.80662,                0.45936,                 1.1875,             0.00018709,             0.00018709,             0.00018709
                     87,                0.84993,                0.69885,                 1.2477,                0.91973,                0.84608,                0.88445,                0.71146,                0.79169,                0.45162,                 1.1745,             0.00017609,             0.00017609,             0.00017609
                     88,                0.85489,                0.68804,                 1.2368,                0.92916,                0.89996,                0.89524,                0.71766,                0.79984,                0.44844,                  1.174,             0.00016509,             0.00016509,             0.00016509
                     89,                0.85402,                0.68658,                   1.25,                0.85174,                0.89787,                0.87384,                0.69481,                 0.8113,                0.49004,                 1.1866,              0.0001541,              0.0001541,              0.0001541
                     90,                0.82862,                0.68452,                 1.2349,                0.87792,                0.87477,                0.89179,                0.72933,                0.76611,                0.43392,                 1.1491,              0.0001431,              0.0001431,              0.0001431
                     91,                0.76994,                0.60793,                 1.1724,                0.86159,                0.89836,                0.89691,                0.72058,                0.79299,                0.43311,                 1.1825,              0.0001321,              0.0001321,              0.0001321
                     92,                0.76084,                0.59219,                 1.1722,                0.90058,                0.89865,                0.90343,                0.73496,                0.79016,                0.42978,                 1.1812,              0.0001211,              0.0001211,              0.0001211
                     93,                0.74284,                0.60077,                 1.1543,                0.93531,                0.86551,                0.89391,                0.71677,                0.79941,                0.44918,                  1.183,              0.0001101,              0.0001101,              0.0001101
                     94,                0.74079,                0.56649,                 1.1508,                0.93034,                 0.8816,                 0.9056,                0.73749,                0.78018,                 0.4335,                 1.1715,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.7382,                0.58227,                 1.1599,                0.92496,                0.89692,                0.89892,                0.72322,                0.79741,                0.45123,                 1.1784,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.73413,                 0.5591,                 1.1416,                0.89118,                0.89952,                0.89956,                0.73107,                0.77878,                0.43605,                  1.166,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.72535,                0.55678,                  1.144,                0.93383,                0.87695,                0.90393,                0.72897,                0.77634,                0.42993,                 1.1659,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.73118,                0.54983,                  1.151,                0.91167,                0.89912,                0.90182,                0.72238,                0.80324,                0.42835,                  1.182,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.72005,                0.54291,                 1.1354,                0.91207,                0.89998,                 0.9036,                0.73525,                0.78981,                0.42403,                 1.1701,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.71912,                0.53596,                 1.1329,                0.95016,                0.87577,                0.89343,                0.71831,                 0.7942,                0.44312,                 1.1787,             3.3108e-05,             3.3108e-05,             3.3108e-05
